id,object_name,object_id,start_time,end_time,duration
p59ZDdxszkk,tie,f37879a1,190.560,442.920,252.36
p59ZDdxszkk,person,12f2b28f,190.560,442.920,252.36
p59ZDdxszkk,tie,ebf2bdac,463.560,576.480,112.92000000000002
8AcQ8C9xa-A,outerwear,1b0b09a1,0.000,103.080,103.08
8AcQ8C9xa-A,person,db25e323,0.000,103.080,103.08
8AcQ8C9xa-A,pants,2645ddcb,0.000,103.080,103.08
p59ZDdxszkk,coat,299fee5d,343.560,442.920,99.36000000000001
p59ZDdxszkk,suit,0280d0bd,190.920,290.160,99.24000000000004
UXR_bqyAy4E,person,f5bac477,382.200,472.440,90.24000000000001
EJMaCyibnsM,outerwear,ee922545,717.600,797.040,79.43999999999994
EJMaCyibnsM,person,b94694dd,717.600,797.040,79.43999999999994
p59ZDdxszkk,person,8d8648ac,499.200,577.440,78.24000000000007
p59ZDdxszkk,person,af9a3ffe,86.160,161.040,74.88
UXR_bqyAy4E,person,416448ca,486.360,556.680,70.31999999999994
p59ZDdxszkk,tie,f0eb63a8,86.520,154.080,67.56000000000002
p59ZDdxszkk,flag,7bab9c59,297.240,364.560,67.32
p59ZDdxszkk,suit,96e4b9b2,0.000,63.720,63.72
p59ZDdxszkk,person,e211d409,3.720,63.720,60.0
UXR_bqyAy4E,outerwear,690176ed,413.400,472.440,59.04000000000002
UXR_bqyAy4E,person,beb659d0,382.920,441.000,58.079999999999984
UXR_bqyAy4E,top,c0afdc47,486.360,544.320,57.960000000000036
EJMaCyibnsM,person,bc8c4fab,478.200,535.920,57.71999999999997
EJMaCyibnsM,outerwear,9a034a0d,478.200,535.920,57.71999999999997
UXR_bqyAy4E,person,e453cd5e,579.960,636.840,56.879999999999995
UXR_bqyAy4E,coat,6a0c2e07,579.960,636.840,56.879999999999995
p59ZDdxszkk,tie,6cb0a8bc,7.080,63.720,56.64
p59ZDdxszkk,suit,e96c7fb2,99.240,154.680,55.44000000000001
8AcQ8C9xa-A,lighting,efeb69ae,430.080,483.240,53.160000000000025
8AcQ8C9xa-A,tie,44a5e560,430.080,483.240,53.160000000000025
8AcQ8C9xa-A,picture frame,9b588424,430.080,483.240,53.160000000000025
8AcQ8C9xa-A,person,e3229b4d,430.200,483.240,53.04000000000002
p59ZDdxszkk,flag,4c507dfa,288.840,337.080,48.24000000000001
8AcQ8C9xa-A,person,1addfadb,382.560,429.960,47.39999999999998
8AcQ8C9xa-A,outerwear,cac3fa5b,382.560,429.960,47.39999999999998
UXR_bqyAy4E,person,2426728f,425.040,472.440,47.39999999999998
8AcQ8C9xa-A,picture frame,0d5e6924,382.560,429.960,47.39999999999998
8AcQ8C9xa-A,person,0e7e46e2,382.560,429.960,47.39999999999998
