id,object_name,object_id,start_time,end_time,duration,aspect_ratio
p59ZDdxszkk,tie,f37879a1,190.56,442.92,252.36,0.2971990344339413
p59ZDdxszkk,person,12f2b28f,190.56,442.92,252.36,1.079708830796165
p59ZDdxszkk,tie,ebf2bdac,463.56,576.48,112.92,0.2116925107834473
8AcQ8C9xa-A,outerwear,1b0b09a1,0.0,103.08,103.08,0.5409677898690594
8AcQ8C9xa-A,person,db25e323,0.0,103.08,103.08,0.5184094771796819
8AcQ8C9xa-A,pants,2645ddcb,0.0,103.08,103.08,1.0918565929195163
p59ZDdxszkk,coat,299fee5d,343.56,442.92,99.36,1.2102321787898869
p59ZDdxszkk,suit,0280d0bd,190.92,290.16,99.24,1.1920288891452837
UXR_bqyAy4E,person,f5bac477,382.2,472.44,90.24,1.0122496367399985
EJMaCyibnsM,outerwear,ee922545,717.6,797.04,79.44,1.5242481943887922
EJMaCyibnsM,person,b94694dd,717.6,797.04,79.44,1.0194249505071251
p59ZDdxszkk,person,8d8648ac,499.2,577.44,78.24,0.8525996307884512
p59ZDdxszkk,person,af9a3ffe,86.16,161.04,74.88,0.8449108041251623
UXR_bqyAy4E,person,416448ca,486.36,556.68,70.32,0.7755588126324484
p59ZDdxszkk,tie,f0eb63a8,86.52,154.08,67.56,0.3506296607373192
p59ZDdxszkk,flag,7bab9c59,297.24,364.56,67.32,0.2775396243393436
p59ZDdxszkk,suit,96e4b9b2,0.0,63.72,63.72,1.3067287278429591
p59ZDdxszkk,person,e211d409,3.72,63.72,60.0,1.1466578935352685
UXR_bqyAy4E,outerwear,690176ed,413.4,472.44,59.04,1.504996437878072
UXR_bqyAy4E,person,beb659d0,382.92,441.0,58.08,0.2272578316010189
UXR_bqyAy4E,top,c0afdc47,486.36,544.32,57.96,1.1996519659559548
EJMaCyibnsM,person,bc8c4fab,478.2,535.92,57.72,0.8867110278257367
EJMaCyibnsM,outerwear,9a034a0d,478.2,535.92,57.72,1.581742856783585
